capability_id,layer,capability,user_value,computer_use_role,operational_metric,current_state,adoption_criticality,evidence_or_benchmark,source
C01,Understand,Goal interpretation,"Turns natural requests into the intended outcome","Maps user language to app and artifact states","Goal-correct completion on paraphrased and underspecified tasks",Uneven,Critical,AppWorld-UL user-interaction tasks,https://arxiv.org/abs/2607.20536
C02,Understand,Proactive clarification,"Prevents wrong guesses and unnecessary supervision","Pauses when required state is missing or contradictory","Precision and recall of clarification; unnecessary-question rate",Major gap,Critical,OSWorld 2.0 proactive interaction,https://osworld-v2.xlang.ai/
C03,Understand,Constraint and policy following,"Keeps actions within budgets deadlines preferences and rules","Carries constraints through long GUI trajectories","Constraint satisfaction and critical-policy violation rate",Uneven,Critical,OSWorld 2.0 and tau3 Banking,https://osworld-v2.xlang.ai/
C04,Understand,Cross-source reasoning,"Combines email files websites records and messages","Reconciles state spread across applications","Full completion on cross-source tasks; source omission rate",Major gap,Critical,OSWorld 2.0 cross-source reasoning,https://osworld-v2.xlang.ai/
C05,Understand,Conflict disambiguation,"Uses the authoritative current information","Rejects stale noisy or contradictory UI data","Authoritative-source selection accuracy",Major gap,High,OSWorld 2.0 conflict disambiguation,https://osworld-v2.xlang.ai/
C06,Understand,Tutorial and demonstration following,"Learns unfamiliar software and user procedures","Extracts steps from PDFs videos or live demonstration","Novel-procedure completion and transfer rate",Early,High,OSWorld 2.0 tutorial following and Grok Bot routines,https://osworld-v2.xlang.ai/
C07,Access,Identity and authenticated sessions,"Lets the agent operate where the user's real work lives","Maintains secure login sessions and handles user takeover","Authentication success; session persistence; credential exposure rate",Shipping but constrained,Critical,MyPCBench and current agent products,https://mypcbench.com/
C08,Access,Least-privilege permissions,"Enables trust without granting the whole computer","Scopes apps files actions and duration","Excess-permission rate; task success under scoped access",Shipping but uneven,Critical,Claude Code per-app permissions,https://code.claude.com/docs/en/computer-use
C09,Access,Connectors APIs and MCP,"Provides fast structured reliable access","Uses structured tools instead of pixels where available","Tool selection accuracy; completion and cost uplift over GUI-only",Uneven,High,OSWorld-MCP,https://arxiv.org/abs/2510.24563
C10,Access,Visual and accessibility-tree perception,"Lets the agent understand any interface","Reads screenshots DOM accessibility trees icons and layout","Element recognition and grounding under interface variation",Uneven,Critical,OSWorld 2.0 visual-spatial precision,https://osworld-v2.xlang.ai/
C11,Access,Personal files and artifact context,"Connects tasks to the user's documents and history","Finds opens moves and attaches local or cloud files","Correct-file retrieval and data-boundary violation rate",Shipping but uneven,Critical,ChatGPT Work and MyPCBench,https://openai.com/index/chatgpt-for-your-most-ambitious-work/
C12,Access,Cross-device continuity,"Lets users delegate from mobile and review elsewhere","Preserves task state across desktop web and phone","Handoff completion and state-loss rate",Shipping but uneven,Medium,ChatGPT Work and Grok Bot product support,https://help.openai.com/en/articles/20001275-chatgpt-work-and-codex
C13,Execute,Precise mouse keyboard and touch control,"Completes actions in ordinary apps","Clicks types drags selects and uses shortcuts correctly","Action grounding accuracy; coordinate-error rate",Improving,High,OSWorld and MobileWorld,https://aclanthology.org/2026.acl-long.278/
C14,Execute,Scrolling windows and navigation,"Finds content outside the current view","Manages focus tabs windows menus and scroll state","Navigation success under long pages and multiple windows",Uneven,High,Claude computer-use limitations,https://platform.claude.com/docs/en/agents-and-tools/tool-use/computer-use-tool
C15,Execute,Dynamic and streaming interfaces,"Works while screens and requirements change","Re-observes and updates action plans between frames","Success under live updates streaming and timing constraints",Major gap,High,OSWorld 2.0 dynamic and streaming interaction,https://osworld-v2.xlang.ai/
C16,Execute,Cross-application orchestration,"Finishes outcomes spread across the user's digital world","Moves information and artifacts through multiple apps","Binary completion by number of applications",Major gap,Critical,WindowsWorld and SaaS-Bench,https://arxiv.org/abs/2604.27776
C17,Execute,Hybrid GUI API terminal and code routing,"Uses the best interface for each subtask","Switches among visual control structured tools and code","Pass rate cost and safety versus single-interface harness",Uneven,High,WeaveBench,https://arxiv.org/abs/2606.09426
C18,Execute,Multi-item state tracking,"Avoids omissions and duplication across lists and records","Maintains a durable ledger of processed and pending items","Item-level precision recall and duplicate rate",Major gap,Critical,OSWorld 2.0 multi-item state tracking,https://osworld-v2.xlang.ai/
C19,Execute,Long-horizon planning and completion,"Allows users to hand off hours-long goals","Maintains dependencies budget and stopping conditions","Binary completion by human task duration",Major gap,Critical,OSWorld 2.0,https://osworld-v2.xlang.ai/
C20,Execute,Artifact creation and placement,"Produces work in the correct format and location","Edits documents sheets media code and files in place","Artifact correctness plus location format and metadata checks",Uneven,Critical,WeaveBench and Agents' Last Exam,https://arxiv.org/abs/2606.09426
C21,Execute,Consequential action execution,"Completes sends purchases submissions and changes","Crosses external side-effect boundaries only as authorized","Correct-action rate; unintended-side-effect rate",Constrained,Critical,ChatGPT Agent confirmations and restrictions,https://deploymentsafety.openai.com/chatgpt-agent
C22,Persist,Background and asynchronous execution,"Removes the need to watch the agent","Runs while user is away and reports status","Unattended completion and interruption rate",Shipping but unproven at scale,Critical,ChatGPT Work and Grok Bot,https://x.ai/news/introducing-grok-bot
C23,Persist,Schedules triggers and monitoring,"Turns one-time help into ongoing delegation","Runs on time or when an event or condition occurs","Trigger precision recall and stale-data rate",Shipping but uneven,High,ChatGPT Scheduled Tasks and Grok Automations,https://openai.com/index/chatgpt-for-your-most-ambitious-work/
C24,Persist,Durable task state,"Resumes without losing decisions evidence or progress","Checkpoints a workflow across sessions and failures","Resume success and state-drift rate",Uneven,Critical,OSWorld 2.0 implicit state and current persistent agents,https://osworld-v2.xlang.ai/
C25,Persist,Personal memory and preferences,"Reduces repeated explanation and improves fit","Retrieves relevant user context without leaking or overgeneralizing","Preference accuracy; irrelevant-memory and leakage rate",Early,High,MyPCBench and LongMemEval,https://mypcbench.com/
C26,Persist,Routine learning and reuse,"Lets the user teach a workflow once","Generalizes a demonstration to later variants","One-shot routine success and adaptation rate",Early,High,Grok Bot routines and CL-Bench caveat,https://docs.x.ai/grok-bot/overview
C27,Control,Outcome verification,"Lets the user trust that done means done","Inspects real app state artifact semantics and side effects","Verification precision recall and false-done rate",Major gap,Critical,OSWorld 2.0 failure analysis and WeaveBench,https://osworld-v2.xlang.ai/
C28,Control,Error detection recovery and alternate paths,"Prevents failures from becoming user cleanup","Retries changes tools restores checkpoints or escalates","Recovery rate by injected failure type; repair burden",Major gap,Critical,AgentHijack and SaaS-Bench,https://agenthijack.github.io/
C29,Control,Approval and handoff judgment,"Keeps the user involved only at consequential boundaries","Requests confirmation clarification or takeover at the right time","Confirmation recall precision and interventions per task",Improving,Critical,ChatGPT Agent system card,https://deploymentsafety.openai.com/chatgpt-agent
