series_id,series_name,entity,metric,preferred_unit,population_scope,comparability_policy,notes
adopt_chatgpt_paid,ChatGPT paid consumers,ChatGPT,Paid consumer reach,subscriptions,global consumer,Compare like-for-like paid consumer disclosures,Do not combine with Work seats
adopt_chatgpt_reach,ChatGPT reported reach,ChatGPT,Reported active reach,weekly active users,global consumer,Do not treat unspecified people as weekly active users,Keep cadence changes explicit
adopt_claude_delegation,Claude directive delegation,Claude,Directive-task share,percent,Claude sampled conversations,Use the same conversation classifier,Closest behavioral delegation proxy
adopt_codex_reach,Codex reach,Codex,Weekly active reach,weekly active users,global selected agent users,Compare disclosed weekly users,Technically selected population
adopt_grok_paid,Grok active paid subscriptions,Grok,Active paid subscriptions,subscriptions,global paid plans,Keep X-bundled and direct plans identified,Access is not demonstrated delegation
adopt_grok_features,Grok feature users,Grok,Monthly feature users,monthly users,global product users,Keep feature definition and cadence fixed,Includes non-agent features
adopt_ms365_agents,Microsoft 365 active agents index,Microsoft 365 agents,Active-agent index,index,Microsoft 365 organizations,Index only unless absolute denominator is disclosed,One use in 28 days may qualify
adopt_openclaw_stars,OpenClaw GitHub stars,OpenClaw,GitHub stars,stars,developer ecosystem,Developer-interest proxy only,Not active users
adopt_openclaw_npm,OpenClaw npm monthly downloads,OpenClaw,npm downloads,monthly downloads,developer ecosystem,Downloads may repeat per user,Not active users
adopt_us_business_paid,US businesses paying for AI,Ramp AI Index,Business paid-AI adoption,percent,Ramp customer sample,Keep sample frame fixed,Not representative of every US business
adopt_us_employee_any,US employee AI use,US employees,Any AI use at work,percent,US employees,Keep question wording and survey frame fixed,Assistance and delegation combined
adopt_us_employee_frequent,US employee frequent AI use,US employees,Frequent AI use at work,percent,US employees,Keep frequency definition fixed,More intensive than any use
adopt_us_nonwork,US non-work GenAI use,US population,Non-work GenAI use,percent,US population,Keep survey instrument fixed,Consumer familiarity proxy
adopt_us_work_any,US work GenAI any use,US workers,Any work-related GenAI use,percent,US workers,Keep survey instrument fixed,Assistance and delegation combined
adopt_us_work_weekly,US work GenAI weekly use,US workers,Weekly work-related GenAI use,percent,US workers,Keep survey instrument fixed,Preferred broad intensive-use measure
